feature,f_score,p_value,mutual_information
density_mean,7.489425933875087,0.0065879744737540645,0.23426882765957213
vdw_radius_uff_mean,3.8065137490565024,0.052013103437661946,0.23152872154569515
bulk_modulus_std,2.959593892366769,0.08643245045035669,0.23127382135123575
atomic_volume_mean,12.227952369193938,0.0005442710721332125,0.22495594790099105
icsd_volume_mean,11.685161302009927,0.0007199418769864917,0.22437045514189347
electron_negativity_mean,2.0688318725414834,0.15141121731195345,0.22098914851470175
atomic_volume_std,7.184571977232649,0.007772509602133546,0.22096264029621482
atomic_number_std,1.1395953249556223,0.28662265495889266,0.21959087832713298
fusion_enthalpy_mean,0.0018315413194219107,0.9658930953590883,0.219261325005204
mendeleev_number_mean,3.3519333513303917,0.0681486163642695,0.21814947119244543
num_s_unfilled_mean,1.0671813371658143,0.3024407484128482,0.21797558677507967
period_mean,0.31282542562854837,0.5763817451022878,0.21667972905879607
first_ion_en_std,1.0220776812831684,0.31286654855440776,0.2160052398472847
electron_affinity_std,0.7232936234344864,0.3957648786280823,0.21509746219241688
num_d_unfilled_mean,0.6985492852035748,0.40395731005473723,0.21463167528885707
molar_volume_mean,8.654741277592912,0.0035243806974326985,0.21195967802149207
octahedral_factor,4.653131363447732,0.03181558216382416,0.21121413698808755
num_d_valence_range,5.116169273518201,0.024441598661185785,0.2111130093132152
c6_gb_mean,8.458066206155921,0.00391419223231939,0.2098572575293649
hhi_p_std,1.221368832227524,0.2700050780574351,0.2090754384188367
gs_energy_range,1.5064913549954964,0.22066724053703893,0.2078703047223982
melting_point_range,7.981181032972037e-05,0.9928781185339672,0.20628620360689176
bandgap_energy,1.2092161042357452,0.272396303947464,0.20001446134933865
atomic_volume_range,3.8010688054544017,0.05218020142847502,0.19914749023736533
num_valance_range,2.3135980471239774,0.129332705363567,0.19897880403078672
covalent_radius_pyykko_triple_mean,1.4285489473602289,0.2329745344923733,0.19844654594357136
B_num_d_valence,5.814868924880371,0.016510576847000788,0.19207191191404904
heat_of_formation_std,0.055691019050945915,0.8136068667614609,0.1915165080420631
hhi_r_std,0.022863820001140293,0.8799165090836617,0.19107207380708324
hhi_r_mean,0.2730403756942997,0.6016970886027881,0.19017823635060171
num_valance_mean,9.328017346717347,0.002465648041030646,0.1885640324011466
atomic_radius_std,5.18051497779808,0.02356808801757915,0.18855488273819088
num_p_unfilled_mean,0.05249968101921919,0.8189303130973781,0.18721894127416094
gs_mag_moment_mean,0.040065821484579066,0.841491752273062,0.1869324409070574
atomic_number_range,1.0502329692025092,0.3063045732318578,0.18692237757926522
vdw_radius_alvarez_std,3.8280659075088823,0.05135726098611587,0.18369616689392032
calcination_time,0.8336253434746452,0.36198212625226667,0.1830651030433197
sound_velocity_mean,0.04581235612066571,0.830667155019468,0.18134067258866704
en_allen_std,0.773685319621966,0.3798051544811949,0.17871936435350788
icsd_volume_range,3.2821983914025927,0.0710658607786808,0.17473871553677478
covalent_radius_cordero_range,0.996230100727158,0.31905366750631947,0.17309393444706878
electron_negativity_range,0.002721449755485589,0.9584310081615087,0.17288199802467474
num_unfilled_std,0.007128902378186212,0.9327703638112856,0.17283825511246942
A_atomic_number,0.039112058579443824,0.8433649040038848,0.1728319243383698
covalent_radius_cordero_std,5.451901410257257,0.020226940941433794,0.17229708830278412
specific_heat_mean,0.369343195195686,0.5438364757338703,0.17101681560815774
atomic_radius_rahm_mean,3.5003614913893877,0.06235889690670403,0.16919031463591683
covalent_radius_pyykko_double_range,0.5179430603461604,0.47229803128021386,0.16844862589079446
heat_of_formation_mean,0.36368944379291807,0.5469340371282352,0.16842743422849038
density_std,12.372495375013974,0.0005053091754985174,0.16815438458639953
period_std,0.0004906950300555381,0.9823421774508673,0.16739088134014857
specific_surface_area,8.001674654435124,0.004998120976834704,0.1663550069638089
vdw_radius_std,5.135568577063644,0.02417474606096924,0.1654541234442699
num_p_valence_std,0.4961323596097754,0.481767774156898,0.16365689375436343
boiling_point_mean,0.031079165145716812,0.8601865108754569,0.16341805439624535
heat_capacity_molar_std,0.4062341317949137,0.524388261952748,0.1624144526076008
gs_est_bcc_latcnt_range,3.776361556542237,0.05294564255374338,0.16232737524424046
hhi_r_range,0.3997676334104935,0.5277057338861155,0.16050786688064056
c6_gb_std,7.835629022319537,0.005465029266311972,0.15798204818728845
vdw_radius_mm3_range,2.7533604185002116,0.09812755140000406,0.15766636812144652
thermal_conductivity_range,5.762974967821187,0.016995179964768736,0.15627748441431555
melting_point_mean,0.024950288738560485,0.8746005460483188,0.15458750614589345
mendeleev_number_range,0.4164766123177429,0.5192088986188189,0.15223338983835877
gs_energy_mean,0.39054211941655204,0.5325042874529953,0.15147048586418688
vdw_radius_uff_std,2.5980873648216734,0.1080767740867607,0.1508298057914228
heat_capacity_molar_mean,0.4196661656663056,0.5176144408473429,0.14631691020350024
specific_heat_range,2.0413703459180557,0.15414418757901413,0.14548911529084085
atomic_radius_mean,3.2953334030983243,0.07050626946127836,0.14472190767881177
A_electron_negativity,4.03080451709056,0.045600837982596,0.1440438924669274
sound_velocity_std,0.0056532400646679545,0.9401167686251162,0.14343673942088575
covalent_radius_pyykko_triple_range,3.7406816420809292,0.05407218775365418,0.14124269877029105
bulk_modulus_range,2.281934311580837,0.1319736259696411,0.14102003795945484
dipole_polarizability_std,6.631020286749743,0.010515784741143232,0.13619615757990644
boiling_point_range,0.015301954147149952,0.9016373634590523,0.1351653234747836
O,0.8207818933046056,0.36570117377275135,0.13430977512549713
heat_of_formation_range,0.3964898447380489,0.5294016993516321,0.13371182627482092
electron_affinity_range,0.15682222539494195,0.6923894254518759,0.13323625858811017
covalent_radius_pyykko_std,9.70161361448821,0.0020246405219221156,0.13098453616935535
num_valance_std,3.3946214944023323,0.06642656604066863,0.1308835546796816
Ni,6.429647227613198,0.011746423374926585,0.12337435642182415
vdw_radius_range,2.3003101576877,0.13043370524045234,0.12059487874674968
thermal_conductivity_mean,5.933551666393385,0.015455378133693637,0.11944351033712852
