compound,hydrogen_production_rate,hydrogen_production_rate_uom,bandgap_energy,bandgap_energy_uom,incident_light_cut_off,incident_light_cut_off_uom,particle_size,particle_size_uom,radiation_source_intensity,radiation_source_intensity_uom,specific_surface_area,specific_surface_area_uom,catalyst_amount,catalyst_amount_uom,co_catalyst,co_catalyst_type,reaction_type,reaction_solution,reaction_solution_concentration,carbon_source,sacrificial_agent,sacrificial_agent_source,preparation_method,calcination_temperature,calcination_temperature_uom,calcination_time,calcination_time_uom,doi_reference
LaMn0.94Fe0.06O3,581.73,𝜇mol.g-1.h-1,2.64,eV,400,nm,200.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Electrospinning,800.0,°C,3.0,h,https://doi.org/10.1016/j.mssp.2023.107697
LaMn0.92Fe0.08O3,385.68,𝜇mol.g-1.h-1,2.64,eV,400,nm,200.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Electrospinning,800.0,°C,3.0,h,https://doi.org/10.1016/j.mssp.2023.107697
K1NbO3BiNi0.5Ti0.5O3,7842.0,𝜇mol.g-1.h-1,3.31,eV,400,nm,160.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Electrospinning,650.0,°C,4.0,h,https://doi.org/10.1016/j.apsusc.2021.151359
K0.995NbO2.995BiNi0.5Ti0.5O3,7434.0,𝜇mol.g-1.h-1,3.3,eV,420,nm,160.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Electrospinning,650.0,°C,4.0,h,https://doi.org/10.1016/j.apsusc.2021.151359
K0.99NbO2.99BiNi0.5Ti0.5O3,7002.0,𝜇mol.g-1.h-1,3.23,eV,420,nm,160.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Electrospinning,650.0,°C,4.0,h,https://doi.org/10.1016/j.apsusc.2021.151359
K0.98NbO0.98bBiNi0.5Ti0.5O3,4945.0,𝜇mol.g-1.h-1,3.22,eV,420,nm,160.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Electrospinning,650.0,°C,4.0,h,https://doi.org/10.1016/j.apsusc.2021.151359
K0.97Nb0.97BiNi0.5Ti0.5O3,2781.0,𝜇mol.g-1.h-1,3.21,eV,420,nm,160.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Electrospinning,650.0,°C,4.0,h,https://doi.org/10.1016/j.apsusc.2021.151359
K0.95Nb0.95BiNi0.5Ti0.5O3,1225.0,𝜇mol.g-1.h-1,3.18,eV,420,nm,160.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Electrospinning,650.0,°C,4.0,h,https://doi.org/10.1016/j.apsusc.2021.151359
Ba5Ta4O15-Ba3Ta5O15-BaTa2O6,5900.0,𝜇mol.g-1.h-1,4.3,eV,400,nm,70.0,nm,500.0,W,2.5,m2.g-1,0.2,g,false,-,photoreform,Water / methanol,(11: 1 v/v),CH3OH,True,CH3OH,Citrate Synthesis,1000.0,°C,10.0,h,http://dx.doi.org/10.1088/2515-7655/abc07a
KNbO3,0.0,𝜇mol.g-1.h-1,3.4,eV,420,nm,101.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Pechini sol-gel-based electrospinnig,650.0,°C,4.0,h,https://doi.org/10.1021/acs.jpcc.1c10127
K0.95Na0.05NbO3,33.0,𝜇mol.g-1.h-1,3.42,eV,420,nm,103.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Pechini sol-gel-based electrospinnig,650.0,°C,4.0,h,https://doi.org/10.1021/acs.jpcc.1c10127
K0.9Na0.1NbO3,7718.0,𝜇mol.g-1.h-1,3.42,eV,420,nm,103.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Pechini sol-gel-based electrospinnig,650.0,°C,4.0,h,https://doi.org/10.1021/acs.jpcc.1c10127
K0.7Na0.3NbO3,9304.0,𝜇mol.g-1.h-1,3.37,eV,420,nm,103.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Pechini sol-gel-based electrospinnig,650.0,°C,4.0,h,https://doi.org/10.1021/acs.jpcc.1c10127
K0.5Na0.5NbO3,11506.0,𝜇mol.g-1.h-1,3.27,eV,420,nm,103.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Pechini sol-gel-based electrospinnig,650.0,°C,4.0,h,https://doi.org/10.1021/acs.jpcc.1c10127
K0.3Na0.7NbO3,9355.0,𝜇mol.g-1.h-1,3.44,eV,420,nm,103.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Pechini sol-gel-based electrospinnig,650.0,°C,4.0,h,https://doi.org/10.1021/acs.jpcc.1c10127
NaNbO3,8717.0,𝜇mol.g-1.h-1,3.6,eV,420,nm,95.0,nm,300.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Pechini sol-gel-based electrospinnig,650.0,°C,4.0,h,https://doi.org/10.1021/acs.jpcc.1c10127
HPb2Nb3O10,55.0,𝜇mol.g-1.h-1,2.58,eV,400,nm,2500.0,nm,300.0,W,,m2.g-1,0.5,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1000.0,°C,48.0,h,https://doi.org/10.1016/j.apcata.2013.09.015
H1.1Pb2Nb2.95Cr0.05O10,110.0,𝜇mol.g-1.h-1,2.43,eV,400,nm,2500.0,nm,300.0,W,,m2.g-1,0.5,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1000.0,°C,49.0,h,https://doi.org/10.1016/j.apcata.2013.09.015
LaFeO3,94.8,𝜇mol.g-1.h-1,2.31,eV,400,nm,28.79,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
PrLaFeO3,127.0,𝜇mol.g-1.h-1,2.0,eV,400,nm,16.04,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
YLaFeO3,80.0,𝜇mol.g-1.h-1,2.0,eV,400,nm,15.6,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
EuLaFeO3,96.0,𝜇mol.g-1.h-1,2.08,eV,400,nm,19.38,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
CaLaFeO3,0.0,𝜇mol.g-1.h-1,2.17,eV,400,nm,21.39,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
MgLaFeO3,60.0,𝜇mol.g-1.h-1,2.2,eV,400,nm,27.85,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
TbLaFeO3,70.0,𝜇mol.g-1.h-1,2.3,eV,400,nm,18.31,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
InLaFeO3,84.0,𝜇mol.g-1.h-1,2.05,eV,400,nm,20.1,nm,350.0,W,,m2.g-1,0.1,g,RhCrOx,Na3RhCl61·2H2O / Cr(NO3)3·9H2O,photoreform,Water / TEOS,(8 : 2 v/v),C8H20O4Si,True,C8H20O4Si,Citric-acid assisted co-precipitation,700.0,°C,6.0,h,https://doi.org/10.3390/catal11050612
LaNaTaO3,19.8,𝜇mol.g-1.h-1,3.98,eV,250,nm,25.0,nm,1000.0,W,,m2.g-1,0.05,g,false,-,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Wet-chemical templated synthesis,900.0,°C,16.0,h,https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3,219.2,𝜇mol.g-1.h-1,4.08,eV,250,nm,25.0,nm,1000.0,W,,m2.g-1,0.05,g,Ru,RuO2 nanoparticles,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Wet-chemical templated synthesis,900.0,°C,16.0,h,https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3,193.2,𝜇mol.g-1.h-1,4.08,eV,250,nm,25.0,nm,1000.0,W,,m2.g-1,0.05,g,Ru,RuO2 nanoparticles,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Wet-chemical templated synthesis,900.0,°C,16.0,h,https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3,230.8,𝜇mol.g-1.h-1,4.18,eV,250,nm,25.0,nm,1000.0,W,34.0,m2.g-1,0.05,g,Ru,RuO2 nanoparticles,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Wet-chemical templated synthesis,900.0,°C,16.0,h,https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3,176.2,𝜇mol.g-1.h-1,4.18,eV,250,nm,25.0,nm,1000.0,W,,m2.g-1,0.05,g,Ru,RuO2 nanoparticles,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Wet-chemical templated synthesis,900.0,°C,16.0,h,https://doi.org/10.1021/acsomega.1c00584
TiO2-I@CS3Bi2I9-10,176.5,𝜇mol.g-1.h-1,2.62,eV,400,nm,2000.0,nm,1000.0,W,114.0,m2.g-1,0.025,g,false,-,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Solvothermal synthesis,60.0,°C,12.0,h,https://doi.org/10.1016/j.cattod.2024.114626
TiO2-I@CS3BI2I9-50,163.2,𝜇mol.g-1.h-1,2.17,eV,400,nm,2000.0,nm,1000.0,W,114.0,m2.g-1,0.025,g,false,-,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Solvothermal synthesis,60.0,°C,12.0,h,https://doi.org/10.1016/j.cattod.2024.114626
TiO2-I@CS3Bi2I9-100,159.3,𝜇mol.g-1.h-1,2.3,eV,400,nm,2000.0,nm,1000.0,W,110.0,m2.g-1,0.025,g,false,-,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Solvothermal synthesis,60.0,°C,12.0,h,https://doi.org/10.1016/j.cattod.2024.114626
TiO2-I@CS3Bi2I9-300,97.8,𝜇mol.g-1.h-1,2.53,eV,400,nm,2000.0,nm,1000.0,W,102.0,m2.g-1,0.025,g,false,-,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Solvothermal synthesis,60.0,°C,12.0,h,https://doi.org/10.1016/j.cattod.2024.114626
TiO2-B@CS3BI2Br9-100,98.1,𝜇mol.g-1.h-1,2.99,eV,400,nm,2000.0,nm,1000.0,W,65.0,m2.g-1,0.025,g,false,-,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Solvothermal synthesis,60.0,°C,12.0,h,https://doi.org/10.1016/j.cattod.2024.114626
CaTiO3,5.12,𝜇mol.g-1.h-1,3.64,eV,250,nm,6000.0,nm,300.0,W,,m2.g-1,0.01,g,false,-,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,hydrothermal synthesis,,°C,,h,http://dx.doi.org/10.1007/s12274-024-6666-6
NiCo2S4CaTiO3,307.76,𝜇mol.g-1.h-1,3.61,eV,250,nm,6000.0,nm,300.0,W,,m2.g-1,0.01,g,Ni/Co,NiCo2S4,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Mechanical grinding,200.0,°C,2.0,h,http://dx.doi.org/10.1007/s12274-024-6666-6
NaTaO3,50.0,𝜇mol.g-1.h-1,4.05,eV,250,nm,128.0,nm,150.0,W,1.1,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,https://doi.org/10.1016/j.ijhydene.2016.09.015
NaNbO3,20.0,𝜇mol.g-1.h-1,3.41,eV,250,nm,288.0,nm,150.0,W,1.0,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,https://doi.org/10.1016/j.ijhydene.2016.09.015
NaNb0.5Ta0.5O3,100.0,𝜇mol.g-1.h-1,3.53,eV,250,nm,133.0,nm,150.0,W,1.0,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,https://doi.org/10.1016/j.ijhydene.2016.09.015
LiNb0.5Ta0.5O3,10.0,𝜇mol.g-1.h-1,4.3,eV,250,nm,118.0,nm,150.0,W,2.0,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,https://doi.org/10.1016/j.ijhydene.2016.09.015
KNb0.5Ta0.5O3,40.0,𝜇mol.g-1.h-1,3.48,eV,250,nm,97.0,nm,150.0,W,2.1,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,https://doi.org/10.1016/j.ijhydene.2016.09.015
La2NiO4,2.4,𝜇mol.g-1.h-1,2.4,eV,420,nm,300.0,nm,300.0,W,3.0,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Sol-gel + solid-state reaction,1200.0,°C,12.0,h,https://doi.org/10.1016/j.seppur.2023.123310
La1.9Sr0.1NiO4+δ,62.7,𝜇mol.g-1.h-1,2.1,eV,420,nm,300.0,nm,300.0,W,6.0,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Sol-gel + solid-state reaction,1200.0,°C,12.0,h,https://doi.org/10.1016/j.seppur.2023.123310
La1.9Sr0.1Ni0.8Co0.2O4+δ,70.3,𝜇mol.g-1.h-1,2.15,eV,420,nm,300.0,nm,300.0,W,9.0,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Sol-gel + solid-state reaction,1200.0,°C,12.0,h,https://doi.org/10.1016/j.seppur.2023.123310
La1.9Sr0.1Ni0.8Co0.2O4+δ,61.8,𝜇mol.g-1.h-1,2.0,eV,420,nm,300.0,nm,300.0,W,9.0,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Sol-gel + solid-state reaction,1200.0,°C,12.0,h,https://doi.org/10.1016/j.seppur.2023.123310
BaTiO3,789700.0,𝜇mol.g-1.h-1,3.38,eV,400,nm,10.0,nm,,W,2.11,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,-,,°C,,h,https://doi.org/10.1016/j.jallcom.2018.04.300
BaTiO3,98500.0,𝜇mol.g-1.h-1,3.27,eV,400,nm,10.0,nm,,W,120.98,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Wet-chemical templated synthesis,80.0,°C,12.0,h,https://doi.org/10.1016/j.jallcom.2018.04.300
BaTiO3,0.052,𝜇mol.g-1.h-1,3.2,eV,400,nm,,nm,300.0,W,1.1,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,https://doi.org/10.1021/acsaem.4c02142
BaTiO3,0.0,𝜇mol.g-1.h-1,3.2,eV,400,nm,,nm,300.0,W,4.1,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,https://doi.org/10.1021/acsaem.4c02142
PrTaON2,40.0,𝜇mol.g-1.h-1,2.09,eV,420,nm,3000.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,10.0,h,http://dx.doi.org/10.1021/jacs.4c08001
NdTaON2,180.0,𝜇mol.g-1.h-1,2.16,eV,420,nm,3000.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,10.0,h,http://dx.doi.org/10.1021/jacs.4c08001
SmTaON2,280.0,𝜇mol.g-1.h-1,2.25,eV,420,nm,3000.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,10.0,h,http://dx.doi.org/10.1021/jacs.4c08001
GdTaON2,400.0,𝜇mol.g-1.h-1,2.35,eV,420,nm,3000.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,10.0,h,http://dx.doi.org/10.1021/jacs.4c08001
Na0.5La0.5TiO3,5.0,𝜇mol.g-1.h-1,3.19,eV,425,nm,3000.0,nm,300.0,W,0.93,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / Formic Acid,(9 : 1 v/v),HCOOH,True,HCOOH,Polymerized-complex method,1100.0,°C,6.0,h,https://doi.org/10.1039/C6RA07891E
(Na0.5La0.5TiO3)0.9(LaCrO3)0.1,25.0,𝜇mol.g-1.h-1,2.9,eV,425,nm,1000.0,nm,300.0,W,2.99,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / Formic Acid,(9 : 1 v/v),HCOOH,True,HCOOH,Polymerized-complex method,1100.0,°C,6.0,h,https://doi.org/10.1039/C6RA07891E
(Na0.5La0.5TiO3)0.8(LaCrO3)0.2,110.0,𝜇mol.g-1.h-1,2.6,eV,425,nm,1100.0,nm,300.0,W,2.92,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / Formic Acid,(9 : 1 v/v),HCOOH,True,HCOOH,Polymerized-complex method,1100.0,°C,6.0,h,https://doi.org/10.1039/C6RA07891E
(Na0.5La0.5TiO3)0.7(LaCrO3)0.3,238.0,𝜇mol.g-1.h-1,2.35,eV,425,nm,1200.0,nm,300.0,W,2.72,m2.g-1,0.4,g,Pt,H2PtCl6·6H2O,photoreform,Water / Formic Acid,(9 : 1 v/v),HCOOH,True,HCOOH,Polymerized-complex method,1100.0,°C,6.0,h,https://doi.org/10.1039/C6RA07891E
(Na0.5La0.5TiO3)0.6(LaCrO3)0.4,165.0,𝜇mol.g-1.h-1,2.25,eV,425,nm,1500.0,nm,300.0,W,2.45,m2.g-1,0.5,g,Pt,H2PtCl6·6H2O,photoreform,Water / Formic Acid,(9 : 1 v/v),HCOOH,True,HCOOH,Polymerized-complex method,1100.0,°C,6.0,h,https://doi.org/10.1039/C6RA07891E
(Na0.5La0.5TiO3)0.5(LaCrO3)0.5,115.0,𝜇mol.g-1.h-1,2.15,eV,425,nm,1100.0,nm,300.0,W,2.9,m2.g-1,0.6,g,Pt,H2PtCl6·6H2O,photoreform,Water / Formic Acid,(9 : 1 v/v),HCOOH,True,HCOOH,Polymerized-complex method,1100.0,°C,6.0,h,https://doi.org/10.1039/C6RA07891E
LaCrO3,0.0,𝜇mol.g-1.h-1,2.7,eV,425,nm,2500.0,nm,300.0,W,1.9,m2.g-1,0.7,g,Pt,H2PtCl6·6H2O,photoreform,Water / Formic Acid,(9 : 1 v/v),HCOOH,True,HCOOH,Polymerized-complex method,1100.0,°C,6.0,h,https://doi.org/10.1039/C6RA07891E
HLaSrNb2NiO9,3.0,𝜇mol.g-1.h-1,3.49,eV,420,nm,1500.0,nm,300.0,W,26.7,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4.5 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1300.0,°C,10.0,h,http://dx.doi.org/10.1021/cm902137s
CsLaSrNb2NiO9,0.6,𝜇mol.g-1.h-1,3.48,eV,420,nm,2000.0,nm,300.0,W,6.1,m2.g-1,0.5,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4.5 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1300.0,°C,10.0,h,http://dx.doi.org/10.1021/cm902137s
NaLaSrNb2NiO9,0.0,𝜇mol.g-1.h-1,2.84,eV,420,nm,1000.0,nm,300.0,W,1.3,m2.g-1,0.5,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4.5 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1300.0,°C,10.0,h,http://dx.doi.org/10.1021/cm902137s
K2Nb2O6,2420.0,𝜇mol.g-1.h-1,3.82,eV,400,nm,15000.0,nm,500.0,W,1.2,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,One-pot hydrotermal,240.0,°C,12.0,h,http://dx.doi.org/10.1002/cjoc.201300817
KNbO3,920.0,𝜇mol.g-1.h-1,3.3,eV,400,nm,500.0,nm,500.0,W,2.1,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,One-pot hydrotermal,240.0,°C,12.0,h,http://dx.doi.org/10.1002/cjoc.201300817
Nb2O5,360.0,𝜇mol.g-1.h-1,3.15,eV,400,nm,100.0,nm,500.0,W,8.4,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,One-pot hydrotermal,240.0,°C,12.0,h,http://dx.doi.org/10.1002/cjoc.201300817
NaTaO3,556.0,𝜇mol.g-1.h-1,3.62,eV,400,nm,61.03,nm,450.0,W,,m2.g-1,0.05,g,false,-,photoreform,Water / methanol,(3.2 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,125.0,°C,18.0,h,https://doi.org/10.1016/j.dwt.2024.100448
AgNaTaO3,2834.0,𝜇mol.g-1.h-1,3.6,eV,400,nm,48.9,nm,450.0,W,,m2.g-1,0.05,g,false,-,photoreform,Water / methanol,(3.2 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,125.0,°C,18.0,h,https://doi.org/10.1016/j.dwt.2024.100448
NNaTaO3,3266.0,𝜇mol.g-1.h-1,3.57,eV,400,nm,53.5,nm,450.0,W,,m2.g-1,0.05,g,false,-,photoreform,Water / methanol,(3.2 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,125.0,°C,18.0,h,https://doi.org/10.1016/j.dwt.2024.100448
PrFeO3,2847.0,𝜇mol.g-1.h-1,2.08,eV,400,nm,20.0,nm,400.0,W,10.88,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / ethanol,(20 : 1 v/v),CHOH,True,CHOH,Sol-gel,700.0,°C,5.0,h,http://dx.doi.org/10.1007/s12039-014-0596-x
PrFeO3,2132.0,𝜇mol.g-1.h-1,2.03,eV,400,nm,17.0,nm,400.0,W,15.7,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / ethanol,(20 : 1 v/v),CHOH,True,CHOH,Chitosan template,700.0,°C,5.0,h,http://dx.doi.org/10.1007/s12039-014-0596-x
PrFeO3,1986.0,𝜇mol.g-1.h-1,1.88,eV,400,nm,15.0,nm,400.0,W,10.13,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / ethanol,(20 : 1 v/v),CHOH,True,CHOH,Combustion,700.0,°C,5.0,h,http://dx.doi.org/10.1007/s12039-014-0596-x
SrTiO3,2.0,𝜇mol.g-1.h-1,3.05,eV,400,nm,1000.0,nm,300.0,W,,m2.g-1,0.1,g,WS2,WS2 nanodots,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Reduction in H2-N2,800.0,°C,10.0,h,https://doi.org/10.1039/C7CC08797G
SrTiWO3,8.0,𝜇mol.g-1.h-1,2.95,eV,400,nm,1000.0,nm,300.0,W,28.2,m2.g-1,0.1,g,WS2,WS2 nanodots,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Reduction in H2-N2,800.0,°C,10.0,h,https://doi.org/10.1039/C7CC08797G
WS2SrTiO3,45.0,𝜇mol.g-1.h-1,2.45,eV,400,nm,1000.0,nm,300.0,W,44.1,m2.g-1,0.1,g,WS2,WS2 nanodots,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Reduction in H2-N2,800.0,°C,10.0,h,https://doi.org/10.1039/C7CC08797G
