compound,hydrogen_production_rate,hydrogen_production_rate_uom,bandgap_energy,bandgap_energy_uom,incident_light_cut_off,incident_light_cut_off_uom,particle_size,particle_size_uom,radiation_source_intensity,radiation_source_intensity_uom,specific_surface_area,specific_surface_area_uom,catalyst_amount,catalyst_amount_uom,co_catalyst,co_catalyst_type,reaction_type,reaction_solution,reaction_solution_concentration,carbon_source,sacrificial_agent,sacrificial_agent_source,preparation_method,calcination_temperature,calcination_temperature_uom,calcination_time,calcination_time_uom,doi_reference,Sr,Ti,O,La,Ni,Cu,K,Na,Ta,N,Ba,Fe,Nb,Bi,Br,Cd,S,H,Pb,Sn,Ag,Ca,Cr,Mn,Au,Pd,Pt,B,Mo,C,Pr,Y,Eu,Mg,Tb,In,Ru,Co,Li,Nd,Sm,Gd,Cs,W,Zr,Hf,Ce,V,P,Rh,Yb,Cl,Zn
SrTiO3,0.0,𝜇mol.g-1.h-1,3.31,eV,420,nm,100.0,nm,300.0,W,4.27,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,800.0,°C,5.0,h,https://doi.org/10.1002/aenm.201600932,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SrTiO3-Ba2FeNbO6,80.0,𝜇mol.g-1.h-1,3.08,eV,420,nm,100.0,nm,300.0,W,4.96,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,800.0,°C,5.0,h,https://doi.org/10.1002/aenm.201600932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SrTiO3-Ba2FeNbO6,143.0,𝜇mol.g-1.h-1,2.92,eV,420,nm,100.0,nm,300.0,W,5.09,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,800.0,°C,5.0,h,https://doi.org/10.1002/aenm.201600932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SrTiO3-Ba2FeNbO6,95.0,𝜇mol.g-1.h-1,2.76,eV,420,nm,100.0,nm,300.0,W,5.57,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,800.0,°C,5.0,h,https://doi.org/10.1002/aenm.201600932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba2FeNbO6,0.0,𝜇mol.g-1.h-1,2.29,eV,420,nm,100.0,nm,300.0,W,5.54,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,800.0,°C,5.0,h,https://doi.org/10.1002/aenm.201600932,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CdSLa2Ti2O7,51.31,𝜇mol.g-1.h-1,2.28,eV,400,nm,600.0,nm,500.0,W,,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3 : 1 v/v),CH3OH,True,CH3OH,hydrothermal + chemical bath deposition,,°C,,h,http://dx.doi.org/10.1002/cplu.201600351 ,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La2Ti2O7,10.26,𝜇mol.g-1.h-1,3.94,eV,400,nm,600.0,nm,500.0,W,,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3 : 1 v/v),CH3OH,True,CH3OH,hydrothermal + chemical bath deposition,,°C,,h,http://dx.doi.org/10.1002/cplu.201600351 ,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La2NiO4TiO2,2144.2,𝜇mol.g-1.h-1,3.1,eV,400,nm,50.0,nm,300.0,W,18.61,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,620.0,°C,5.0,h,http://dx.doi.org/10.1117/1.JPE.11.034001,0.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La2NiO4,5.8,𝜇mol.g-1.h-1,2.2,eV,400,nm,50.0,nm,300.0,W,6.63,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1000.0,°C,6.0,h,http://dx.doi.org/10.1117/1.JPE.11.034001,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBA/HPb2Nb3O10,34.0,𝜇mol.g-1.h-1,2.63,eV,415,nm,2000.0,nm,300.0,W,,m2.g-1,0.5,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3.4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1000.0,°C,48.0,h,https://doi.org/10.1002/cctc.201402924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
