calcination_temperature,num_d_valence_std,boiling_point_std,melting_point_std,covalent_radius_pyykko_double_std,gs_est_bcc_latcnt_std,lattice_constant_mean,atomic_number_mean,num_d_unfilled_std,lattice_constant_std,atomic_radius_range,hhi_p_mean,mendeleev_number_std,covalent_radius_pyykko_double_mean,num_unfilled_mean,radiation_source_intensity,lattice_constant_range,gs_energy_std,gs_est_bcc_latcnt_mean,octahedral_factor,electron_negativity_std,num_s_unfilled_std,vdw_radius_uff_range,bulk_modulus_mean,specific_heat_std,covalent_radius_pyykko_triple_std,num_d_unfilled_mean,num_d_valence_mean,vdw_radius_uff_mean,electron_affinity_mean,density_mean,num_valance_range,bulk_modulus_std,icsd_volume_mean,atomic_volume_mean,num_s_unfilled_mean,first_ion_en_std,atomic_volume_std,electron_negativity_mean,fusion_enthalpy_mean,log_hydrogen_production_rate,bandgap_energy,tolerance_factor
400.0,0.8,1372.6592299125082,756.3194626611165,41.182520563948,0.8283531951513585,5.904000000000001,16.8,3.2,1.505291998251502,68.7985796885917,1360.0,35.204545161101,89.0,2.8,300.0,3.88,1.926638355259929,3.1762870428000003,1.0054621883076835,1.0913917720049018,0.0,46.60000000000002,82.15971934359035,0.3343075261185155,35.902089075707,1.6,0.4,346.32,0.9020681,2.1054000000000004,4.0,13.99078328129213,25.166,17.26,0.0,3.621740155381664,8.324806304052967,2.5620000000000003,4.448,3.531606631932722,2.97,0.8711007382063196
800.0,3.5496478698597698,1606.1964738673785,657.6796913391807,34.16489426297117,0.6136962529224866,5.561000000000001,21.9,3.5496478698597698,1.5554320943069166,63.0,2460.0,26.990553903171385,83.6,3.3,125.0,3.31,0.4288875676248989,2.9725313201000003,0.8618247328351574,0.982723257076986,0.3,68.80000000000001,83.26362451031336,0.3854075023869492,36.53505166275258,2.0,2.0,343.73,1.2097681,3.7056,8.0,43.58034540673539,20.167,14.27,0.1,3.487675082394574,4.961259920625002,2.665,4.48,3.0670708560453703,2.47,0.8655685320585051
600.0,0.955813918560292,1904.2059694849768,1004.6626385232232,51.30518708885313,0.8974973762582805,5.63,22.22222222222222,3.359159212851328,1.4234855500183734,88.7985796885917,1900.0,38.7855770571268,100.33333333333331,3.111111111111111,300.0,3.52,2.905498101977368,3.312005282666667,1.1992587552150602,1.181572503169786,0.415739709641549,82.89999999999998,68.65891158362349,0.3859420876963733,37.33620562437565,1.7777777777777777,0.4444444444444444,344.29999999999995,1.0163292777777777,3.375111111111111,18.0,55.14378378493444,28.584444444444443,19.155555555555555,0.2222222222222222,4.036261041598101,10.09082213489192,2.3944444444444444,5.422777777777778,2.0453229787866576,2.0,0.8383234043743885
600.0,1.1661903789690602,2353.1626653540125,1249.7166215842692,36.2579646422686,0.5154317793761144,4.3936,30.4,3.9698866482558417,1.2470715456620765,95.0,2980.0,28.96480623101076,88.4,4.8,300.0,3.52,2.6095063885729006,3.2633924932,0.8242053992590195,0.937861397009174,0.0,49.0,83.76716132118807,0.3641876170225074,37.44542695710653,3.2,0.8,350.24,-0.1093772999999999,5.1138,16.0,60.12138130488718,23.558,16.4,0.0,3.821447093908798,3.868849958320948,2.4240000000000004,8.74,2.0453229787866576,2.0,0.8834185567069046
800.0,2.04939015319192,1620.49042399639,898.4461094578795,42.66333320311482,0.9392904359135316,5.718999999999999,22.7,2.04939015319192,1.495041470996708,96.0,1990.0,34.89641815430346,89.8,2.3,300.0,3.96,2.365626671390252,3.193498191,0.930223521155408,1.080391132877348,0.3,79.10000000000002,81.58362451031337,0.3998740267159226,39.44667286350016,1.0,1.0,344.83,1.0124327,3.0338000000000003,6.0,51.16465463701495,25.985000000000003,17.990000000000002,0.1,3.669995886142158,10.717504373687,2.585,5.937,2.1583624920952498,2.29,0.922595360637842
800.0,4.688239737549126,1370.5048057134543,683.219811530189,38.45166592288165,0.6485652470386136,5.972142857142857,33.714285714285715,1.5452362609131385,1.1798679016339595,24.0,2642.8571428571427,12.759350312933778,89.57142857142857,2.571428571428572,300.0,3.53,1.7099948623412824,3.1720682687857145,1.0381407632412487,0.7126495546586008,0.2575393768188564,120.5,64.62488048601273,0.4490741821013864,37.58609165255528,0.4285714285714285,3.857142857142857,377.38571428571424,1.4099535857142858,4.276428571428571,24.0,38.3735336079913,25.977857142857143,16.535714285714285,0.0714285714285714,3.0257007702825254,3.9967142116738734,2.8685714285714288,5.819214285714286,1.9258275746247424,2.44,0.7503485571525257
800.0,1.6,1910.5260085808827,1051.9650366813528,54.4,1.0214649173545167,5.804,16.8,2.4,1.396962418964805,89.0,2340.0,36.66278767360715,97.8,2.8,300.0,3.53,2.874231136346179,3.2947558844,0.9986223094756584,1.1199714282069877,0.4898979485566356,64.69999999999999,80.28362451031337,0.3180244924976511,36.68490614726288,1.2,0.8,349.54,1.1604433,2.5746,5.0,53.02583622963272,29.172,19.62,0.4,4.025932005288055,12.899674414495893,2.548,6.598999999999999,0.0,3.98,0.92248048970081
400.0,1.939071942966532,1638.6911470758548,792.4125573692484,37.941981358589146,0.6162300634527129,5.678,21.183333333333334,3.167272178828866,1.528667846386592,68.7985796885917,2220.0,30.95569317578439,88.4,3.096014492753623,300.0,3.88,1.886431360039993,3.0679481612000004,0.9986223094756584,1.015543530010622,0.2332741326930919,64.44999999999999,81.54950871303204,0.3687216896792682,35.19884256049194,1.6,1.0,342.636,1.0772770555555555,3.2771241379310347,7.0,44.89820797528118,22.5667,15.728571428571428,0.0577777777777777,3.5252654118435487,5.619549442570996,2.572,5.860857142857142,1.3304137733491908,2.86,0.8578895316036006
400.0,1.939071942966532,1638.6911470758548,792.4125573692484,37.941981358589146,0.6162300634527129,5.678,21.183333333333334,3.167272178828866,1.528667846386592,68.7985796885917,2220.0,30.95569317578439,88.4,3.096014492753623,300.0,3.88,1.886431360039993,3.0679481612000004,0.9986223094756584,1.015543530010622,0.2332741326930919,64.44999999999999,81.54950871303204,0.3687216896792682,35.19884256049194,1.6,1.0,342.636,1.0772770555555555,3.2771241379310347,7.0,44.89820797528118,22.5667,15.728571428571428,0.0577777777777777,3.5252654118435487,5.619549442570996,2.572,5.860857142857142,1.011570443597278,3.05,0.8578895316036006
400.0,1.939071942966532,1638.6911470758548,792.4125573692484,37.941981358589146,0.6162300634527129,5.678,21.183333333333334,3.167272178828866,1.528667846386592,68.7985796885917,2220.0,30.95569317578439,88.4,3.096014492753623,300.0,3.88,1.886431360039993,3.0679481612000004,0.9986223094756584,1.015543530010622,0.2332741326930919,64.44999999999999,81.54950871303204,0.3687216896792682,35.19884256049194,1.6,1.0,342.636,1.0772770555555555,3.2771241379310347,7.0,44.89820797528118,22.5667,15.728571428571428,0.0577777777777777,3.5252654118435487,5.619549442570996,2.572,5.860857142857142,1.0696680969115957,2.9,0.8578895316036006
800.0,0.8,1372.6592299125082,756.3194626611165,41.182520563948,0.8283531951513585,5.904000000000001,16.8,3.2,1.505291998251502,68.7985796885917,1360.0,35.204545161101,89.0,2.8,300.0,3.88,1.926638355259929,3.1762870428000003,1.0054621883076835,1.0913917720049018,0.0,46.60000000000002,82.15971934359035,0.3343075261185155,35.902089075707,1.6,0.4,346.32,0.9020681,2.1054000000000004,4.0,13.99078328129213,25.166,17.26,0.0,3.621740155381664,8.324806304052967,2.5620000000000003,4.448,0.0,3.31,0.8711007382063196
800.0,1.939071942966532,1638.6911470758548,792.4125573692484,37.941981358589146,0.6162300634527129,5.678,21.183333333333334,3.167272178828866,1.528667846386592,68.7985796885917,2220.0,30.95569317578439,88.4,3.096014492753623,300.0,3.88,1.886431360039993,3.0679481612000004,0.9986223094756584,1.015543530010622,0.2332741326930919,64.44999999999999,81.54950871303204,0.3687216896792682,35.19884256049194,1.6,1.0,342.636,1.0772770555555555,3.2771241379310347,7.0,44.89820797528118,22.5667,15.728571428571428,0.0577777777777777,3.5252654118435487,5.619549442570996,2.572,5.860857142857142,1.9084850188786493,3.08,0.8578895316036006
