num_d_valence_std,boiling_point_std,covalent_radius_pyykko_double_std,melting_point_std,B_electron_affinity,gs_est_bcc_latcnt_std,lattice_constant_mean,atomic_number_mean,hhi_p_mean,mendeleev_number_std,num_d_unfilled_std,lattice_constant_std,atomic_radius_range,covalent_radius_pyykko_double_mean,B_electron_negativity,num_unfilled_mean,B_atomic_number,gs_energy_std,gs_est_bcc_latcnt_mean,electron_negativity_std,num_s_unfilled_std,bulk_modulus_mean,lattice_constant_range,vdw_radius_uff_range,num_d_valence_mean,specific_heat_std,electron_affinity_mean,covalent_radius_pyykko_triple_std,density_mean,vdw_radius_uff_mean,bulk_modulus_std,atomic_volume_mean,icsd_volume_mean,electron_negativity_mean,atomic_volume_std,atomic_number_std,fusion_enthalpy_mean,bandgap_energy,tolerance_factor,octahedral_factor,r_A,r_B,radius_ratio,tolerance_deviation,A_electron_negativity,A_electron_affinity,A_atomic_number,A_num_d_valence,B_num_d_valence
0.8,1372.6592299125082,41.182520563948,756.3194626611165,0.079,0.8283531951513585,5.904000000000001,16.8,1360.0,35.204545161101,3.2,1.505291998251502,68.7985796885917,89.0,1.54,2.8,22.0,1.926638355259929,3.1762870428000003,1.0913917720049018,0.0,82.15971934359035,3.88,46.60000000000002,0.4,0.3343075261185155,0.9020681,35.902089075707,2.1054000000000004,346.32,13.99078328129213,17.26,25.166,2.5620000000000003,8.324806304052967,11.906300852909776,4.448,2.97,0.8711007382063196,1.0054621883076835,215.0,147.0,1.4625850340136055,0.1288992617936804,0.95,0.048,38.0,0.0,2.0
3.5496478698597698,1606.1964738673785,34.16489426297117,657.6796913391807,1.1955,0.6136962529224866,5.561000000000001,21.9,2460.0,26.990553903171385,3.5496478698597698,1.5554320943069166,63.0,83.6,1.905,3.3,28.5,0.4288875676248989,2.9725313201000003,0.982723257076986,0.3,83.26362451031336,3.31,68.80000000000001,2.0,0.3854075023869492,1.2097681,36.53505166275258,3.7056,343.73,43.58034540673539,14.27,20.167,2.665,4.961259920625002,19.26369642617948,4.48,2.47,0.8655685320585051,0.8618247328351574,187.0,126.0,1.4841269841269842,0.1344314679414948,1.1,0.47,57.0,1.0,9.0
0.955813918560292,1904.2059694849768,51.30518708885313,1004.6626385232232,0.446642,0.8974973762582805,5.63,22.22222222222222,1900.0,38.7855770571268,3.359159212851328,1.4234855500183734,88.7985796885917,100.33333333333331,1.1766666666666667,3.111111111111111,47.0,2.905498101977368,3.312005282666667,1.181572503169786,0.415739709641549,68.65891158362349,3.52,82.89999999999998,0.4444444444444444,0.3859420876963733,1.0163292777777777,37.33620562437565,3.375111111111111,344.29999999999995,55.14378378493444,19.155555555555555,28.584444444444443,2.3944444444444444,10.09082213489192,23.41783640152085,5.422777777777778,2.0,0.8383234043743885,1.19925875521506,235.0,175.33333333333331,1.340304182509506,0.1616765956256115,0.82,0.50147,19.0,0.0,1.3333333333333333
1.1661903789690602,2353.1626653540125,36.2579646422686,1249.7166215842692,-0.8259999999999998,0.5154317793761144,4.3936,30.4,2980.0,28.96480623101076,3.9698866482558417,1.2470715456620765,95.0,88.4,2.5266666666666664,4.8,29.0,2.6095063885729006,3.2633924932,0.937861397009174,0.0,83.76716132118807,3.52,49.0,0.8,0.3641876170225074,-0.1093772999999999,37.44542695710653,5.1138,350.24,60.12138130488718,16.4,23.558,2.4240000000000004,3.868849958320948,28.70261312145638,8.74,2.0,0.9160485331609785,0.7592265503547815,187.0,111.0,1.6846846846846846,0.0839514668390216,1.1,0.47,57.0,1.0,1.0
2.04939015319192,1620.49042399639,42.66333320311482,898.4461094578795,0.534203,0.9392904359135316,5.718999999999999,22.7,1990.0,34.89641815430346,2.04939015319192,1.495041470996708,96.0,89.8,1.715,2.3,33.5,2.365626671390252,3.193498191,1.080391132877348,0.3,81.58362451031337,3.96,79.10000000000002,1.0,0.3998740267159226,1.0124327,39.44667286350016,3.0338000000000003,344.83,51.16465463701495,17.990000000000002,25.985000000000003,2.585,10.717504373687,19.647137196039527,5.937,2.29,0.922595360637842,0.930223521155408,222.0,136.0,1.6323529411764706,0.0774046393621579,0.89,0.14462,56.0,0.0,5.0
4.688239737549126,1370.5048057134543,38.45166592288165,683.219811530189,2.1404971000000006,0.6485652470386136,5.972142857142857,33.714285714285715,2642.8571428571427,12.759350312933778,1.5452362609131385,1.1798679016339595,24.0,89.57142857142857,2.28,2.571428571428572,38.0,1.7099948623412824,3.1720682687857145,0.7126495546586008,0.2575393768188564,64.62488048601273,3.53,120.5,3.857142857142857,0.4490741821013864,1.4099535857142858,37.58609165255528,4.276428571428571,377.38571428571424,38.3735336079913,16.535714285714285,25.977857142857143,2.8685714285714288,3.9967142116738734,32.799016909109966,5.819214285714286,2.44,0.7503485571525257,1.0381407632412487,170.0,151.77765406904,1.120059478074889,0.2496514428474743,2.02,0.942362,83.0,10.0,7.0
1.6,1910.5260085808827,54.4,1051.9650366813528,0.917406,1.0214649173545167,5.804,16.8,2340.0,36.66278767360715,2.4,1.396962418964805,89.0,97.8,1.6,2.8,41.0,2.874231136346179,3.2947558844,1.1199714282069877,0.4898979485566356,80.28362451031337,3.53,64.69999999999999,0.8,0.3180244924976511,1.1604433,36.68490614726288,2.5746,349.54,53.02583622963272,19.62,29.172,2.548,12.899674414495893,12.82809416865966,6.598999999999999,3.98,0.92248048970081,0.9986223094756584,235.0,146.0,1.6095890410958904,0.07751951029919,0.82,0.50147,19.0,0.0,4.0
1.939071942966532,1638.6911470758548,37.941981358589146,792.4125573692484,0.6174999999999999,0.6162300634527129,5.678,21.183333333333334,2220.0,30.95569317578439,3.167272178828866,1.528667846386592,68.7985796885917,88.4,1.715,3.096014492753623,29.0,1.886431360039993,3.0679481612000004,1.015543530010622,0.2332741326930919,81.54950871303204,3.88,64.44999999999999,1.0,0.3687216896792682,1.0772770555555555,35.19884256049194,3.2771241379310347,342.636,44.89820797528118,15.728571428571428,22.5667,2.572,5.619549442570996,18.736832527004864,5.860857142857142,2.86,,,,,,,,,,,
1.939071942966532,1638.6911470758548,37.941981358589146,792.4125573692484,0.6174999999999999,0.6162300634527129,5.678,21.183333333333334,2220.0,30.95569317578439,3.167272178828866,1.528667846386592,68.7985796885917,88.4,1.715,3.096014492753623,29.0,1.886431360039993,3.0679481612000004,1.015543530010622,0.2332741326930919,81.54950871303204,3.88,64.44999999999999,1.0,0.3687216896792682,1.0772770555555555,35.19884256049194,3.2771241379310347,342.636,44.89820797528118,15.728571428571428,22.5667,2.572,5.619549442570996,18.736832527004864,5.860857142857142,3.05,,,,,,,,,,,
1.939071942966532,1638.6911470758548,37.941981358589146,792.4125573692484,0.6174999999999999,0.6162300634527129,5.678,21.183333333333334,2220.0,30.95569317578439,3.167272178828866,1.528667846386592,68.7985796885917,88.4,1.715,3.096014492753623,29.0,1.886431360039993,3.0679481612000004,1.015543530010622,0.2332741326930919,81.54950871303204,3.88,64.44999999999999,1.0,0.3687216896792682,1.0772770555555555,35.19884256049194,3.2771241379310347,342.636,44.89820797528118,15.728571428571428,22.5667,2.572,5.619549442570996,18.736832527004864,5.860857142857142,2.9,,,,,,,,,,,
